Entity,Code,Year,Green coffee - Yield (tonnes per hectare)
Africa,OWID_AFR,1961,0.4031257
Africa,OWID_AFR,1962,0.33955243
Africa,OWID_AFR,1963,0.3663293
Africa,OWID_AFR,1964,0.41557208
Africa,OWID_AFR,1965,0.37271443
Africa,OWID_AFR,1966,0.39875823
Africa,OWID_AFR,1967,0.35255468
Africa,OWID_AFR,1968,0.3962087
Africa,OWID_AFR,1969,0.41242352
Africa,OWID_AFR,1970,0.423729
Africa,OWID_AFR,1971,0.4023762
Africa,OWID_AFR,1972,0.41492572
Africa,OWID_AFR,1973,0.4256381
Africa,OWID_AFR,1974,0.38798138
Africa,OWID_AFR,1975,0.41691375
Africa,OWID_AFR,1976,0.38244566
Africa,OWID_AFR,1977,0.39403573
Africa,OWID_AFR,1978,0.33839068
Africa,OWID_AFR,1979,0.34893385
Africa,OWID_AFR,1980,0.3616424
Africa,OWID_AFR,1981,0.39560995
Africa,OWID_AFR,1982,0.3619029
Africa,OWID_AFR,1983,0.34371
Africa,OWID_AFR,1984,0.32910514
Africa,OWID_AFR,1985,0.37422577
Africa,OWID_AFR,1986,0.40645075
Africa,OWID_AFR,1987,0.4020527
Africa,OWID_AFR,1988,0.38851365
Africa,OWID_AFR,1989,0.41115
Africa,OWID_AFR,1990,0.38662446
Africa,OWID_AFR,1991,0.40236217
Africa,OWID_AFR,1992,0.4274506
Africa,OWID_AFR,1993,0.36991218
Africa,OWID_AFR,1994,0.44042924
Africa,OWID_AFR,1995,0.41311496
Africa,OWID_AFR,1996,0.4634671
Africa,OWID_AFR,1997,0.44533345
Africa,OWID_AFR,1998,0.43668744
Africa,OWID_AFR,1999,0.48518658
Africa,OWID_AFR,2000,0.49643764
Africa,OWID_AFR,2001,0.49665543
Africa,OWID_AFR,2002,0.54191697
Africa,OWID_AFR,2003,0.4316931
Africa,OWID_AFR,2004,0.42704365
Africa,OWID_AFR,2005,0.43515074
Africa,OWID_AFR,2006,0.4404146
Africa,OWID_AFR,2007,0.4119296
Africa,OWID_AFR,2008,0.44245565
Africa,OWID_AFR,2009,0.42539907
Africa,OWID_AFR,2010,0.46273813
Africa,OWID_AFR,2011,0.5675317
Africa,OWID_AFR,2012,0.4730325
Africa,OWID_AFR,2013,0.43999353
Africa,OWID_AFR,2014,0.4333665
Africa,OWID_AFR,2015,0.40923968
Africa,OWID_AFR,2016,0.414308
Africa,OWID_AFR,2017,0.49688327
Africa,OWID_AFR,2018,0.40927798
Africa,OWID_AFR,2019,0.42850626
Africa,OWID_AFR,2020,0.4507718
Africa,OWID_AFR,2021,0.4575179
Africa,OWID_AFR,2022,0.46005103
Africa,OWID_AFR,2023,0.4715808
Africa,OWID_AFR,2024,0.42773247
Africa (FAO),,1961,0.4031
Africa (FAO),,1962,0.33960003
Africa (FAO),,1963,0.36630002
Africa (FAO),,1964,0.41560003
Africa (FAO),,1965,0.37270004
Africa (FAO),,1966,0.39880002
Africa (FAO),,1967,0.3526
Africa (FAO),,1968,0.39620003
Africa (FAO),,1969,0.4124
Africa (FAO),,1970,0.42370003
Africa (FAO),,1971,0.40240002
Africa (FAO),,1972,0.4149
Africa (FAO),,1973,0.42560002
Africa (FAO),,1974,0.388
Africa (FAO),,1975,0.4169
Africa (FAO),,1976,0.3824
Africa (FAO),,1977,0.39400002
Africa (FAO),,1978,0.3384
Africa (FAO),,1979,0.34890002
Africa (FAO),,1980,0.3616
Africa (FAO),,1981,0.39560002
Africa (FAO),,1982,0.3619
Africa (FAO),,1983,0.34370002
Africa (FAO),,1984,0.3291
Africa (FAO),,1985,0.37420002
Africa (FAO),,1986,0.4065
Africa (FAO),,1987,0.40210003
Africa (FAO),,1988,0.3885
Africa (FAO),,1989,0.41120005
Africa (FAO),,1990,0.38660002
Africa (FAO),,1991,0.40240002
Africa (FAO),,1992,0.4275
Africa (FAO),,1993,0.36990002
Africa (FAO),,1994,0.4404
Africa (FAO),,1995,0.41310003
Africa (FAO),,1996,0.46350002
Africa (FAO),,1997,0.4453
Africa (FAO),,1998,0.43670005
Africa (FAO),,1999,0.48520005
Africa (FAO),,2000,0.49640003
Africa (FAO),,2001,0.49670005
Africa (FAO),,2002,0.54190004
Africa (FAO),,2003,0.43170002
Africa (FAO),,2004,0.42700002
Africa (FAO),,2005,0.43520004
Africa (FAO),,2006,0.4404
Africa (FAO),,2007,0.4119
Africa (FAO),,2008,0.44250003
Africa (FAO),,2009,0.42540002
Africa (FAO),,2010,0.46270004
Africa (FAO),,2011,0.56750005
Africa (FAO),,2012,0.47300002
Africa (FAO),,2013,0.44000003
Africa (FAO),,2014,0.4334
Africa (FAO),,2015,0.40920004
Africa (FAO),,2016,0.4143
Africa (FAO),,2017,0.49690002
Africa (FAO),,2018,0.4093
Africa (FAO),,2019,0.42850003
Africa (FAO),,2020,0.4508
Africa (FAO),,2021,0.4575
Africa (FAO),,2022,0.46010002
Africa (FAO),,2023,0.47160003
Africa (FAO),,2024,0.42770004
Americas (FAO),,1961,0.47870004
Americas (FAO),,1962,0.47520003
Americas (FAO),,1963,0.40530002
Americas (FAO),,1964,0.3563
Americas (FAO),,1965,0.56540006
Americas (FAO),,1966,0.4258
Americas (FAO),,1967,0.5044
Americas (FAO),,1968,0.44020003
Americas (FAO),,1969,0.49220005
Americas (FAO),,1970,0.418
Americas (FAO),,1971,0.5621
Americas (FAO),,1972,0.5575
Americas (FAO),,1973,0.48010004
Americas (FAO),,1974,0.60940003
Americas (FAO),,1975,0.54640007
Americas (FAO),,1976,0.45560002
Americas (FAO),,1977,0.52290004
Americas (FAO),,1978,0.56450003
Americas (FAO),,1979,0.5673
Americas (FAO),,1980,0.5043
Americas (FAO),,1981,0.6666
Americas (FAO),,1982,0.5507
Americas (FAO),,1983,0.6411
Americas (FAO),,1984,0.59440005
Americas (FAO),,1985,0.64100003
Americas (FAO),,1986,0.5193
Americas (FAO),,1987,0.6639001
Americas (FAO),,1988,0.54480004
Americas (FAO),,1989,0.54640007
Americas (FAO),,1990,0.5989001
Americas (FAO),,1991,0.61450005
Americas (FAO),,1992,0.6327
Americas (FAO),,1993,0.59430003
Americas (FAO),,1994,0.59650004
Americas (FAO),,1995,0.59970003
Americas (FAO),,1996,0.67120004
Americas (FAO),,1997,0.64030004
Americas (FAO),,1998,0.7085
Americas (FAO),,1999,0.6706
Americas (FAO),,2000,0.74420005
Americas (FAO),,2001,0.7174001
Americas (FAO),,2002,0.8348
Americas (FAO),,2003,0.71690005
Americas (FAO),,2004,0.79600006
Americas (FAO),,2005,0.73870003
Americas (FAO),,2006,0.8388
Americas (FAO),,2007,0.7972
Americas (FAO),,2008,0.90370005
Americas (FAO),,2009,0.7941
Americas (FAO),,2010,0.88560003
Americas (FAO),,2011,0.8768
Americas (FAO),,2012,0.9707001
Americas (FAO),,2013,0.94720006
Americas (FAO),,2014,0.94570005
Americas (FAO),,2015,0.94430006
Americas (FAO),,2016,1.0254
Americas (FAO),,2017,0.98370004
Americas (FAO),,2018,1.1520001
Americas (FAO),,2019,1.0629001
Americas (FAO),,2020,1.179
Americas (FAO),,2021,1.0022
Americas (FAO),,2022,1.052
Americas (FAO),,2023,1.0735
Americas (FAO),,2024,1.1053001
Angola,AGO,1961,0.48170003
Angola,AGO,1962,0.37
Angola,AGO,1963,0.33660004
Angola,AGO,1964,0.3964
Angola,AGO,1965,0.41000003
Angola,AGO,1966,0.4514
Angola,AGO,1967,0.4704
Angola,AGO,1968,0.39600003
Angola,AGO,1969,0.43
Angola,AGO,1970,0.40800002
Angola,AGO,1971,0.45600003
Angola,AGO,1972,0.45000002
Angola,AGO,1973,0.42000002
Angola,AGO,1974,0.44950002
Angola,AGO,1975,0.5143
Angola,AGO,1976,0.2874
Angola,AGO,1977,0.2853
Angola,AGO,1978,0.17160001
